25-9041	AL	20220	0	16230	0	19400	0	24770	0
25-9099	AL	37110	0	19200	0	35120	0	56470	0
27-1011	AL	72450	0	44880	0	69770	0	99370	0
27-1012	AL	28880	0	19980	0	28170	0	37950	0
27-1014	AL	64060	0	40970	0	62330	0	96150	0
27-1019	AL	48240	0	19790	0	44830	0	85610	0
27-1021	AL	68340	0	38960	0	69850	0	96710	0
27-1023	AL	23700	0	16550	0	21890	0	33150	0
27-1024	AL	40510	0	24120	0	37890	0	60580	0
27-1025	AL	63010	0	17730	0	46970	0	172590	0
27-1026	AL	26420	0	16580	0	23600	0	43780	0
27-2012	AL	45960	0	25290	0	41380	0	76990	0
27-2022	AL	37480	0	16320	0	20370	0	72230	0
27-2023	AL	24560	0	15960	0	18990	0	38680	0
27-2041	AL	40890	0	17180	0	41900	0	71530	0
27-2042	AL	*	0	*	0	*	0	*	0
27-3011	AL	32500	0	16700	0	26510	0	61570	0
27-3012	AL	*	0	*	0	*	0	*	0
27-3021	AL	98550	0	37500	0	82550	0	180600	0
27-3022	AL	39270	0	22980	0	33370	0	69310	0
27-3031	AL	50650	0	26590	0	46620	0	80540	0
27-3041	AL	48460	0	26100	0	43740	0	72030	0
27-3042	AL	62300	0	40520	0	59760	0	90660	0
27-3043	AL	55720	0	29710	0	50620	0	93700	0
27-3091	AL	46480	0	31590	0	46230	0	63370	0
27-4011	AL	36950	0	18560	0	33860	0	66070	0
27-4012	AL	36380	0	18460	0	31030	0	61460	0
27-4014	AL	44080	0	18690	0	37170	0	80790	0
27-4021	AL	34940	0	17580	0	31260	0	62680	0
27-4031	AL	40290	0	19500	0	38340	0	60590	0
27-4032	AL	50660	0	26110	0	45750	0	73270	0
27-4099	AL	67240	0	30290	0	67910	0	110570	0
29-1011	AL	96570	0	43390	0	76940	0	187200	1
29-1021	AL	174870	0	51320	0	163800	0	187200	1
29-1022	AL	143230	0	51720	0	146170	0	187200	1
29-1023	AL	185710	0	108900	0	147110	0	187200	1
29-1031	AL	50610	0	28610	0	50490	0	72240	0
29-1041	AL	95460	0	48110	0	80930	0	160100	0
29-1051	AL	121550	0	86830	0	121750	0	154510	0
29-1061	AL	187200	1	187200	1	187200	1	187200	1
29-1062	AL	198890	0	120500	0	181510	0	187200	1
29-1063	AL	250340	0	134060	0	187200	1	187200	1
29-1064	AL	216100	0	45870	0	187200	1	187200	1
29-1065	AL	190040	0	125710	0	164380	0	187200	1
29-1066	AL	197410	0	132860	0	161910	0	187200	1
29-1067	AL	240300	0	139180	0	187200	1	187200	1
29-1069	AL	243590	0	117120	0	187200	1	187200	1
29-1071	AL	93240	0	55870	0	94400	0	129060	0
29-1081	AL	121970	0	43380	0	108500	0	187200	1
29-1122	AL	79660	0	51690	0	77250	0	116920	0
29-1123	AL	87250	0	56530	0	86820	0	121670	0
29-1124	AL	77630	0	55400	0	74300	0	105020	0
29-1125	AL	43520	0	27630	0	40090	0	68870	0
29-1126	AL	46930	0	34200	0	46280	0	61210	0
29-1127	AL	67850	0	45300	0	64670	0	97760	0
29-1128	AL	43790	0	29000	0	42210	0	65230	0
29-1131	AL	78000	0	52550	0	74540	0	112030	0
29-1141	AL	56890	0	41550	0	55530	0	75980	0
29-1151	AL	160030	0	112940	0	154700	0	187200	1
29-1171	AL	93820	0	64090	0	89660	0	127910	0
29-1181	AL	60820	0	33870	0	64730	0	90500	0
29-2011	AL	53230	0	36910	0	53480	0	72150	0
29-2012	AL	35550	0	22000	0	34520	0	51430	0
29-2021	AL	44400	0	31550	0	44980	0	57550	0
29-2031	AL	45350	0	23800	0	45020	0	68780	0
29-2032	AL	54470	0	38050	0	54660	0	73290	0
29-2033	AL	60900	0	43670	0	60260	0	80400	0
29-2034	AL	46970	0	32120	0	46360	0	62940	0
29-2035	AL	59850	0	46880	0	59420	0	76100	0
29-2041	AL	28910	0	18150	0	26820	0	44490	0
29-2051	AL	37780	0	18200	0	35630	0	58410	0
29-2052	AL	27520	0	19860	0	26590	0	37510	0
29-2053	AL	26780	0	17470	0	25610	0	37860	0
29-2054	AL	41790	0	28970	0	42640	0	55540	0
29-2055	AL	35590	0	25140	0	34660	0	49150	0
29-2056	AL	29180	0	20370	0	28120	0	39570	0
29-2057	AL	30570	0	22250	0	30070	0	38680	0
29-2061	AL	36100	0	26170	0	36010	0	47000	0
29-2071	AL	33180	0	20530	0	29880	0	52270	0
29-2081	AL	29990	0	19090	0	29900	0	41520	0
29-2091	AL	74090	0	32720	0	70400	0	125830	0
29-2092	AL	43810	0	20620	0	51590	0	64570	0
29-2099	AL	40640	0	23180	0	36630	0	60750	0
29-9011	AL	69420	0	38980	0	70280	0	97500	0
29-9012	AL	46150	0	18280	0	47480	0	71180	0
29-9091	AL	43240	0	31090	0	39380	0	60450	0
29-9099	AL	32330	0	20370	0	27980	0	48590	0
31-1011	AL	19720	0	16080	0	18870	0	25550	0
31-1013	AL	24330	0	17870	0	23730	0	31340	0
31-1014	AL	22150	0	16700	0	21570	0	29460	0
31-1015	AL	20880	0	16400	0	20000	0	27620	0
31-2011	AL	56240	0	38270	0	57050	0	75080	0
31-2012	AL	25820	0	19040	0	24030	0	36230	0
31-2021	AL	52520	0	39160	0	52970	0	69640	0
31-2022	AL	24580	0	16660	0	21330	0	30990	0
31-9011	AL	33520	0	16610	0	26130	0	71880	0
31-9091	AL	31240	0	21790	0	30300	0	42670	0
31-9092	AL	26740	0	19570	0	25830	0	36680	0
31-9093	AL	25800	0	18860	0	25420	0	34030	0
31-9094	AL	34250	0	19240	0	33970	0	49710	0
31-9095	AL	22790	0	16390	0	20100	0	32870	0
31-9096	AL	23440	0	16890	0	22620	0	31480	0
31-9097	AL	27440	0	20100	0	27010	0	36900	0
31-9099	AL	29470	0	19680	0	27190	0	44630	0
33-1011	AL	55830	0	35920	0	54960	0	78580	0
33-1012	AL	63390	0	39610	0	59020	0	93530	0
33-1021	AL	60730	0	40940	0	58770	0	86810	0
33-1099	AL	44110	0	22330	0	42680	0	62020	0
33-2011	AL	39780	0	24150	0	39920	0	56950	0
