17-1022	Surveyors	annual	61880	0	32850	0	58020	0	95800	0	bachelor	44.3	43.4	-2	13.7
17-2011	Aerospace engineers	annual	110570	0	67850	0	107830	0	158700	0	bachelor	72.5	70.8	-2.3	20.7
17-2021	Agricultural engineers	annual	78490	0	47490	0	75090	0	116830	0	bachelor	2.9	3	4.4	0.7
17-2031	Biomedical engineers	annual	91230	0	51480	0	86220	0	139520	0	bachelor	22.1	27.2	23.1	10.9
17-2041	Chemical engineers	annual	103960	0	59470	0	97360	0	157160	0	bachelor	34.3	34.9	1.8	10
17-2051	Civil engineers	annual	87940	0	52900	0	82220	0	129850	0	bachelor	281.4	305	8.4	106.7
17-2061	Computer hardware engineers	annual	114970	0	65570	0	111730	0	167100	0	bachelor	77.7	80.1	3.1	18.4
17-2071	Electrical engineers	annual	97340	0	59240	0	93010	0	146820	0	bachelor	178.4	180.2	1	41.1
17-2072	Electronics engineers, except computer	annual	102390	0	63430	0	98270	0	151990	0	bachelor	137.4	135.5	-1.4	30.3
17-2081	Environmental engineers	annual	88040	0	50230	0	84560	0	128440	0	bachelor	55.1	62	12.4	22.4
17-2111	Health and safety engineers, except mining safety engineers and inspectors	annual	87810	0	49410	0	84600	0	130770	0	bachelor	25.2	26.8	6.2	9
17-2112	Industrial engineers	annual	86990	0	53300	0	83470	0	126920	0	bachelor	241.1	243.2	0.9	72.8
17-2121	Marine engineers and naval architects	annual	100090	0	61110	0	93110	0	149330	0	bachelor	8.3	9	8.9	2.9
17-2131	Materials engineers	annual	94690	0	53120	0	91310	0	144720	0	bachelor	25.3	25.6	1.3	9.2
17-2141	Mechanical engineers	annual	88190	0	53640	0	83590	0	128430	0	bachelor	277.5	292.1	5.3	102.5
17-2151	Mining and geological engineers, including mining safety engineers	annual	107880	0	54180	0	94040	0	180600	0	bachelor	8.3	8.8	6.4	2.7
17-2161	Nuclear engineers	annual	106060	0	66650	0	102950	0	152220	0	bachelor	16.8	16.2	-4	4.4
17-2171	Petroleum engineers	annual	149590	0	74880	0	129990	0	187200	1	bachelor	35.1	38.5	9.8	13
17-2199	Engineers, all other	annual	98150	0	52010	0	95900	0	150830	0	bachelor	136.9	142.3	4	33
19-1011	Animal scientists	annual	71830	0	37830	0	60390	0	120500	0	bachelor	2.9	3.2	7.3	1.2
19-1012	Food scientists and technologists	annual	72030	0	36940	0	65840	0	118390	0	bachelor	15.4	16	3.5	5.9
19-1013	Soil and plant scientists	annual	65980	0	35770	0	60050	0	105390	0	bachelor	17.7	18.9	6.7	7.3
19-1021	Biochemists and biophysicists	annual	93390	0	44640	0	82150	0	153810	0	doctoral or professional	34.1	36.9	8.2	11.9
19-1022	Microbiologists	annual	76230	0	38810	0	67550	0	125200	0	bachelor	22.4	23.2	3.5	6.8
19-1023	Zoologists and wildlife biologists	annual	64230	0	39180	0	59680	0	97390	0	bachelor	21.3	22.2	4	6.6
19-1029	Biological scientists, all other	annual	77190	0	41740	0	75150	0	112820	0	bachelor	36.4	36.2	-0.4	9.7
19-1031	Conservation scientists	annual	63800	0	37380	0	61110	0	91830	0	bachelor	21.1	22.5	6.9	10.6
19-1032	Foresters	annual	60650	0	38660	0	58230	0	84980	0	bachelor	15.5	16.8	8.3	8
19-1041	Epidemiologists	annual	76900	0	46130	0	69450	0	114550	0	master	5.8	6.1	6.3	2.2
19-1042	Medical scientists, except epidemiologists	annual	93730	0	44510	0	82240	0	155180	0	doctoral or professional	107.9	116.8	8.3	42.4
19-1099	Life scientists, all other	annual	79870	0	43520	0	70550	0	129350	0	bachelor	10.6	11.3	7.2	4
19-2011	Astronomers	annual	110220	0	52460	0	104100	0	166320	0	doctoral or professional	1.9	1.9	2.8	0.4
19-2012	Physicists	annual	118500	0	55610	0	111580	0	185230	0	doctoral or professional	18.1	19.5	7.9	4.9
19-2021	Atmospheric and space scientists	annual	90210	0	50630	0	89820	0	132180	0	bachelor	11.8	12.9	9.2	3.3
19-2031	Chemists	annual	77860	0	41110	0	71260	0	125450	0	bachelor	91.1	93.5	2.6	22.4
19-2032	Materials scientists	annual	94940	0	47740	0	91000	0	149310	0	bachelor	7.3	7.5	2.7	1.8
19-2041	Environmental scientists and specialists, including health	annual	73930	0	40350	0	67460	0	118070	0	bachelor	94.6	104.8	10.7	39.3
19-2042	Geoscientists, except hydrologists and geographers	annual	105720	0	47250	0	89700	0	187200	1	bachelor	36.4	40.2	10.5	15
19-2043	Hydrologists	annual	83440	0	50410	0	79550	0	120370	0	bachelor	7	7.5	6.9	2.6
19-2099	Physical scientists, all other	annual	98240	0	47620	0	97130	0	153880	0	bachelor	28.5	28.8	1	3
19-3011	Economists	annual	109230	0	52540	0	99180	0	176960	0	master	21.5	22.7	5.7	7
19-3022	Survey researchers	annual	59340	0	22300	0	53920	0	99500	0	master	16.7	18.7	11.6	3.9
19-3031	Clinical, counseling, and school psychologists	annual	76040	0	40920	0	70580	0	116960	0	doctoral or professional	155.3	185.9	19.6	63.8
19-3032	Industrial-organizational psychologists	annual	92320	0	52270	0	77350	0	158990	0	master	2	2.3	19.1	0.8
19-3039	Psychologists, all other	annual	93050	0	42710	0	94590	0	124720	0	master	16.6	18.3	9.8	5.2
19-3041	Sociologists	annual	82100	0	36200	0	73760	0	145250	0	master	2.6	2.5	-0.7	0.3
19-3051	Urban and regional planners	annual	70680	0	42940	0	68220	0	102200	0	master	38	40.4	6.3	9.4
19-3091	Anthropologists and archeologists	annual	64290	0	35440	0	61220	0	97040	0	master	7.7	8	3.8	1.2
19-3092	Geographers	annual	74920	0	45450	0	74260	0	102930	0	bachelor	1.4	1.4	-1.6	0.2
